K0079V001P01L01; 大方廣佛華嚴經卷第一  湯 
K0079V001P18L12; 一切衆生諸功德     不及如來一相福
K0079V001P18L13; 佛德如空無邊際     是名生光妙法門
K0079V001P18L14; 三世無量劫中事     世界成敗種種相
K0079V001P18L15; 於一毛孔悉能現     是名淸淨無上智
K0079V001P18L16; 求空邊際猶可得     佛一毛孔無涯限
K0079V001P18L17; 佛德如是不思議     是名如來淨知見
K0079V001P18L18; 佛於先世無量劫     具滿一切波羅蜜
K0079V001P18L19; 勤修精進無厭怠     是名樂見淨法門
K0079V001P18L20; 行業因緣難思議     佛爲衆生說無餘
K0079V001P18L21; 普現諸法淨無穢     是名無上深法門
K0079V001P18L22; 觀見如來一毛孔     一切衆生悉入中
K0079V001P18L23; 衆生亦無往來想     是名諸方照法門
K0079V001P18L24; 復有兜率天王於成就諸佛轉法輪法門而
K0079V001P18L25; 得自在樂寶髻天於虛空界淨光法門而得
K0079V001P19L02; 自在勝幢天於廣願海入諸衆生寂靜法門
K0079V001P19L03; 而得自在百光明天於一切法無量無相觀
K0079V001P19L04; 行法門而得自在超踊月天於佛境界超踊
K0079V001P19L05; 覺力法門而得自在勝眼光天於喜修集不
K0079V001P19L06; 可沮壞菩提心法門而得自在宿莊嚴天於
K0079V001P19L07; 諸十方佛調伏衆生方便法門而得自在樂
K0079V001P19L08; 靜妙天於無邊心海念念迴向隨器普現法
K0079V001P19L09; 門而得自在爾時兜率天王承佛神力徧觀
K0079V001P19L10; 兜率天衆以偈頌曰
K0079V001P19L11; 如來普周等法界     爲垢衆生出現世
K0079V001P19L12; 隨諸所欲爲說法     是名無上勝法王
K0079V001P19L13; 如來宿世無量行     淸淨願海具足滿
K0079V001P19L14; 一切諸法悉周備     是名方便勝功德
K0079V001P19L15; 如來法身不思議     法界法性辯亦然
K0079V001P19L16; 光明普照一切法     寂靜諸法皆悉現
K0079V001P19L17; 衆生癡闇結業障     高心放逸馳境界
K0079V001P19L18; 如來爲說寂滅法     歡喜善樂悉能見
K0079V001P19L19; 一切世間最上歸     救護群生除衆苦
K0079V001P19L20; 衆生樂觀無上尊     猶如滿月顯高山
K0079V001P19L21; 諸佛境界不思議     一切法界亦如是
K0079V001P19L22; 於諸法力悉究竟     定慧方便皆成就
K0079V001P19L23; 淸淨境界功德海     一切衆生有緣者
K0079V001P19L24; 聞佛功德發菩提     消除塵垢成最勝
K0079V001P19L25; 如世界海微塵數     諸佛子等悉來集
K0079V001P20L02; 供養如來聽受法     悉睹法幢方便王
K0079V001P20L03; 復有夜摩天王於諸衆生離憂迴向善根法
K0079V001P20L04; 門而得自在悅樂光天於諸境界法門而得
K0079V001P20L05; 自在無盡慧天於離諸患具大慈悲法門而
K0079V001P20L06; 得自在淨莊嚴天於分別諸根法門而得自
K0079V001P20L07; 在持須彌天於無量摠持照明法門而得自
K0079V001P20L08; 在不思議慧天於諸境界業行眞實不思議
K0079V001P20L09; 法門而得自在臍輪天於轉法輪調伏衆生
K0079V001P20L10; 法門而得自在不思議光天於衆生界勝眼
K0079V001P20L11; 普觀法門而得自在月姿顏天於諸法實普
K0079V001P20L12; 現法門而得自在普音徧觀天於諸天衆所
K0079V001P20L13; 應施作心淨法門而得自在爾時夜摩天王
K0079V001P20L14; 承佛神力徧觀夜摩天衆以偈頌曰
K0079V001P20L15; 佛於無量大劫海     生死煩惱永已盡
K0079V001P20L16; 能教衆生淸淨道     佛爲一切智慧燈
K0079V001P20L17; 如來法身甚彌曠     周徧十方無涯際
K0079V001P20L18; 智慧光明方便力     寂滅禪樂亦無邊
K0079V001P20L19; 生老病死憂悲苦     毒害逼切惱衆生
K0079V001P20L20; 爲斯等類起慈悲     以無盡智示菩提
K0079V001P20L21; 如來智慧隨順覺     了達三世無障礙
K0079V001P20L22; 一切善行悉了知     是名樂化明法門
K0079V001P20L23; 無量摠持無邊際     如來辯海無窮盡
K0079V001P20L24; 能轉淸淨妙法輪     是名須彌摠持門
K0079V001P20L25; 無上大聖一妙身     應化周滿一切世
K0079V001P21L02; 悉現一切衆生前     是名善光勝境界
K0079V001P21L03; 衆生一見如來身     悉能斷除衆煩惱
K0079V001P21L04; 遠離一切諸魔事     是名淸淨妙境界
K0079V001P21L05; 佛於一切大衆海     處此衆會悉徧照
K0079V001P21L06; 普爲衆生雨法雨     是名普音稱法門
K0079V001P21L07; 大方廣佛華嚴經卷第一
K0079V001P21L08; 光茂<下莫候切>		其幹<下古案切>		枝條<下徒聊切>
K0079V001P21L09; 遠震<下章刃切>		罣礙<上卦盡二音>	念頃<下去潁切>
K0079V001P21L10; 徧覆<下敷救切>		淳厚<上常倫切下胡口切>	珠髻<下古詣切>
K0079V001P21L11; 穀神<上古祿切>		洪流<上戶公切>		豔光<上以瞻切>
K0079V001P21L12; 睒婆<上生染切>		鮮白<上相然切>		摩醯<下呼雞切亦作醯>
K0079V001P21L13; 蔽心<上必袂切>		瞽心<上公戶切>		能測<下初力切>
K0079V001P21L14; 枯林<上苦胡切>		力碎<下蘇內切>		攬之<上盧敢切亦作攬>
K0079V001P21L15; 毒害<下胡蓋切>		逼切<上彼側切下千結切>
K0079V001P21L16; 甲辰歲高麗國大藏都監奉勅彫造
